id,brand_name,brief,price,product_url,image_url
475,Gioberti,Mens Striped Polo Shirt with Pocket - Yarn Dye,28.99,https://www.amazon.com/Gioberti-Striped-Shirt-Pocket-Small/dp/B01NASD17V/ref=sr_1_214,https://m.media-amazon.com/images/I/91seb8qQUqL._AC_UL320_.jpg
476,Floerns,Men's Causal Short Sleeve Polo Shirts Contrast Collar Half Placket T-Shirts,26.99,https://www.amazon.com/Floerns-Causal-Contrast-Placket-T-Shirts/dp/B09N369LB1/ref=sr_1_215,https://m.media-amazon.com/images/I/51vPtTQcicL._AC_UL320_.jpg
477,Premium Wear,Men's High Moisture Wicking Polo T Shirts,11.99,https://www.amazon.com/Premium-Wear-Moisture-Wicking-Shirts/dp/B098YKPHYN/ref=sr_1_216,https://m.media-amazon.com/images/I/91waj01cV5L._AC_UL320_.jpg
478,M MAELREG,Golf Shirts for Men Dry Fit Short Sleeve Performance Moisture Wicking Heather Jacquard Active Mens Polo Shirts,32.95,https://www.amazon.com/MAELREG-Stylish-Business-Stretch-Collared/dp/B0CQ2GYJN3/ref=sr_1_185,https://m.media-amazon.com/images/I/81l3ReXkXUL._AC_UL320_.jpg
479,M MAELREG,Golf Shirts for Men Short Sleeve Regular Fit Moisture Wicking Performance Casual Striped Print Mens Polo Shirts,32.95,https://www.amazon.com/MAELREG-Shirts-Fashion-Striped-Collared/dp/B0CQCN86Q4/ref=sr_1_186,https://m.media-amazon.com/images/I/51Znz03LgjL._AC_UL320_.jpg
480,Dockers,Mens Short Sleeve Perfect Performance Polo (Regular and Big & Tall),21.69,https://www.amazon.com/Dockers-Perfect-Performance-Regular-Beautiful/dp/B09M7SGC84/ref=sr_1_187,https://m.media-amazon.com/images/I/51AAtb9tWqL._AC_UL320_.jpg
481,JMIERR,Mens Knit Polo Shirts Quarter Zip Shirts Casual Stripe Summer Lightweight Short Sleeve Golf Collared Shirt,24.99,https://www.amazon.com/JMIERR-Shirts-Quarter-Classic-Lightweight/dp/B0BZSCX2MP/ref=sr_1_188,https://m.media-amazon.com/images/I/41Y0KXrcW1L._AC_UL320_.jpg
482,Port Authority,Core Classic Pique Pocket Polo,13.73,https://www.amazon.com/Port-Authority-Classic-Pocket-Graphite/dp/B071HS69X8/ref=sr_1_189,https://m.media-amazon.com/images/I/815MPvM5gML._AC_UL320_.jpg
483,YTD,Men’s Classic Polo Shirt Long/Short Sleeve Shirts Lightweight Slim Fit Casual Tops,23.99,https://www.amazon.com/YTD-Classic-Sleeve-Shirts-Lightweight/dp/B09YXV34VY/ref=sr_1_217,https://m.media-amazon.com/images/I/61D9iUMMAOL._AC_UL320_.jpg
484,French Toast,Men's Long Sleeve Cotton Blend Pique Polo Shirt,17.73,https://www.amazon.com/French-Toast-Young-Sleeve-White/dp/B01N1V0PTW/ref=sr_1_218,https://m.media-amazon.com/images/I/618hA9ppL-L._AC_UL320_.jpg
485,Gildan,Ultra Cotton 6.5 oz. Pique Polo (G380),13.99,https://www.amazon.com/Gildan-Ultra-Cotton-Pique-Lagoon/dp/B0BP2TN1CT/ref=sr_1_219,https://m.media-amazon.com/images/I/61XS44v4iWL._AC_UL320_.jpg
486,CEHT,Mens Polo Shirts Short Sleeve & Long Sleeve Cotton Golf Polo Shirts for Men Slim Fit Casual Tops,19.99,https://www.amazon.com/CEHT-Shirts-Sleeve-Cotton-Casual/dp/B09TS9TV99/ref=sr_1_220,https://m.media-amazon.com/images/I/41S6CNLqKgL._AC_UL320_.jpg
487,GRACE KARIN,Mens Cuban Stripe Shirt Vintage Knit Short Sleeve Button Polo Shirts,29.99,https://www.amazon.com/GRACE-KARIN-Vintage-Knitting-ArmyGreen/dp/B0CRRGW6X9/ref=sr_1_221,https://m.media-amazon.com/images/I/91RLFLM5Z0L._AC_UL320_.jpg
